auc,mrr,ndcg@5,ndcg@10,recall@5,recall@10,recall@50,recall@100,recall@200,diversity@50,diversity@100,novelty@50,novelty@100,user_id,history_len
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.08,0.96,0.98,112856,2
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.08,0.94,0.97,119480,3
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.9,0.95,122492,5
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.11,0.82,0.83,122958,80
0.49246231155778897,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.14,0.1,0.76,0.88,125136,12
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.96,0.98,126068,2
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.92,0.95,128459,6
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.72,0.86,134166,15
0.6984924623115578,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.16,0.1,0.48,0.74,134633,28
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11,0.48,0.72,135488,43
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,0.6,0.75,137963,51
0.07035175879396985,0.005376344086021506,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.18,0.09,0.52,0.72,139350,41
0.32663316582914576,0.007407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.18,0.12,0.7,0.85,141376,16
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,0.56,0.75,150224,28
0.9296482412060302,0.06666666666666667,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.1,0.06,0.56,0.76,151601,30
0.7437185929648241,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.16,0.1,0.66,0.83,152880,18
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.09,0.86,0.93,154310,7
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,0.64,0.82,158641,19
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.98,0.99,160676,1
0.135678391959799,0.005780346820809248,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.18,0.1,0.62,0.79,160892,24
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,0.64,0.82,161514,19
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.09,0.94,0.97,162118,3
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.08,0.86,0.93,164544,8
0.007537688442211055,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.12,0.08,0.88,0.94,164882,6
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.11,0.94,0.97,166935,3
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.09,0.6,0.75,167867,25
0.43686868686868685,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.037037037037037035,0.16,0.1,0.46,0.68,168638,39
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.11,0.58,0.72,168769,46
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.9,0.94,171302,6
0.020100502512562814,0.00510204081632653,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.12,0.09,0.76,0.88,171559,12
0.4824120603015075,0.009615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.16,0.09,0.64,0.82,171777,18
